id,text,intent,datetime
0,dari rawamangun ke kokas,asking-question-direction,1492886491.0
1,dari rawamangun ke kota kasablanka,asking-question-direction,1492886502.0
2,kamu bisa apa saja,asking-question-other,1492898204.0
3,tanyajalan perkenalin diri dong,asking-question-other,1492898204.0
4,halo,greeting,1492898226.0
5,jalan dari bogor ke malang,asking-question-direction,1492898242.0
6,jalan dari bogor ke malang,asking-question-direction,1492898242.0
7,cariin jalan dong,asking-question-direction,1492898252.0
8,jalan dari slipi ke karet,asking-question-direction,1492898271.0
9,kamu bisa apa saja,asking-question-other,1492901653.0
10,tanyajalan perkenalin diri dong,asking-question-other,1492901655.0
11,bagi jadwal krl,asking-question-schedule,1492901682.0
12,cek jadwal krl stasiun ui,asking-question-schedule,1492901695.0
13,cek jadwal krl stasiun pocin,asking-question-schedule,1492901710.0
14,cek jadwal krl stasiun pondok cina,asking-question-schedule,1492901724.0
15,kamu bisa apa saja,asking-question-other,1492902155.0
16,jadwal krl,asking-question-schedule,1492902182.0
17,jadwal krl bogor,asking-question-schedule,1492902200.0
18,tampilkan lebih banyak jadwal krl stasiun bogor,asking-question-schedule,1492902207.0
19,tanyajalan perkenalin diri dong,asking-question-other,1492907273.0
20,kamu bisa apa saja,asking-question-other,1492907273.0
21,dari stasiun ui ke limelight,asking-question-direction,1492969693.0
22,dari ui ke limelight,asking-question-direction,1492969696.0
23,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1492971732.0
24,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1492972077.0
25,dari ui ke lebak bulus,asking-question-direction,1492972587.0
26,tanyajalan perkenalin diri dong,asking-question-other,1492972686.0
27,dari ui ke cempaka lestari raya,asking-question-direction,1492972704.0
28,dari ui ke cilandak town square,asking-question-direction,1492972987.0
29,dari stasiun tebet ke festival plaza,asking-question-direction,1492986017.0
30,tanyajalan perkenalin diri dong,asking-question-other,1493003046.0
31,berangkat dari balai kota depok ke fasilkom ui,asking-question-direction,1493003081.0
32,kamu bisa apa saja,asking-question-other,1493078166.0
33,dari otista ke tripvisto,asking-question-direction,1493078193.0
34,dari otista ke tripvisto,asking-question-direction,1493078193.0
35,tampilkan lebih banyak jadwal krl stasiun jatinegara,asking-question-schedule,1493078575.0
36,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598.0
37,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598.0
38,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598.0
39,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493079917.0
40,tampilkan lebih banyak jadwal krl stasiun universitasindonesia,asking-question-schedule,1493079950.0
41,cara ke bukalapak,asking-question-direction,1493091969.0
42,cara ke bukalapak,asking-question-direction,1493091969.0
43,cara ke bukalapak,asking-question-direction,1493091969.0
44,cara ke bukalapak,asking-question-direction,1493091969.0
45,dari ui ke bukalapak,asking-question-direction,1493091985.0
46,dari ui ke tanah kusir,asking-question-direction,1493096656.0
47,dari ui ke tanah kusir,asking-question-direction,1493096656.0
48,dari ui ke tanah kusir,asking-question-direction,1493096656.0
49,dari ui ke tanah kusir,asking-question-direction,1493096656.0
50,dari ui ke tanah kusir,asking-question-direction,1493096656.0
51,pulang ke jalan kampung marga jaya lewat mana,asking-question-direction,1493098514.0
52,pulang ke daerah jalan kampung marga jaya serpong lewat mana,asking-question-direction,1493098574.0
53,pulang ke pondok indah lewat mana,asking-question-direction,1493098614.0
54,pulang ke pondok indah lewat mana,asking-question-direction,1493098614.0
55,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394.0
56,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394.0
57,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394.0
58,bagaimana cara dari bogor ke kota kasablanka,asking-question-direction,1493102619.0
59,dari ui ke ariobimo central,asking-question-direction,1493138062.0
60,dari ui ke ariobimo central,asking-question-direction,1493138062.0
61,dari ui ke ariobimo central,asking-question-direction,1493138062.0
62,dari ui ke sentul,asking-question-direction,1493196177.0
63,dari ui ke sentul bogor,asking-question-direction,
64,dari ui ke sentul bogor,asking-question-direction,
65,dari ui ke sentul bogor,asking-question-direction,
66,dari ui ke sentul bogor,asking-question-direction,
67,dari ui ke sentul bogor,asking-question-direction,
68,dari tanjung barat ke kampus perbanas,asking-question-direction,1493213065.0
69,kamu bisa apa saja,asking-question-other,1493233280.0
70,kamu bisa apa saja,asking-question-other,1493233280.0
71,kamu bisa apa saja,asking-question-other,1493233280.0
72,kamu bisa apa saja,asking-question-other,1493233280.0
73,kamu bisa apa saja,asking-question-other,1493233280.0
74,kamu bisa apa saja,asking-question-other,1493233280.0
75,kamu bisa apa saja,asking-question-other,1493233280.0
76,tanyajalan perkenalin diri dong,asking-question-other,1493233281.0
77,tanyajalan perkenalin diri dong,asking-question-other,1493233281.0
78,tanyajalan perkenalin diri dong,asking-question-other,1493233281.0
79,dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
80,dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
81,dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
82,dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
83,dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
84,dari universitas indonesia ke fx sudirman,asking-question-direction,1493236197.0
85,tanyajalan perkenalin diri dong,asking-question-other,1493245767.0
86,tanyajalan perkenalin diri dong,asking-question-other,1493245767.0
87,tanyajalan perkenalin diri dong,asking-question-other,1493245767.0
88,tanyajalan perkenalin diri dong,asking-question-other,1493245767.0
89,tanyajalan perkenalin diri dong,asking-question-other,1493245767.0
90,kamu bisa apa saja,asking-question-other,1493245780.0
91,kamu bisa apa saja,asking-question-other,1493245780.0
92,kamu bisa apa saja,asking-question-other,1493245780.0
93,kamu bisa apa saja,asking-question-other,1493245780.0
94,kamu bisa apa saja,asking-question-other,1493245780.0
95,jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
96,jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
97,jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
98,jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
99,jadwal krl stasiun bogor,asking-question-schedule,1493245805.0
100,jadwal krl kota,asking-question-schedule,1492638576.0
101,jadwal krl ui,asking-question-schedule,1492638586.0
102,jadwal krl stasiun ui,asking-question-schedule,1492638593.0
103,jadwal krl jakarta kota,asking-question-schedule,1492638602.0
104,kamu bisa apa saja,asking-question-other,1492640047.0
105,tanyajalan perkenalin diri dong,asking-question-other,1492640048.0
106,tanyajalan perkenalin diri dong,asking-question-other,1492640048.0
107,tanyajalan perkenalin diri dong,asking-question-other,1492640051.0
108,kamu bisa apa saja,asking-question-other,1492640051.0
109,dari fasilkom ke indomaret,asking-question-direction,1492642137.0
110,dari fasilkom ke fib,asking-question-direction,1492642147.0
111,hai,greeting,1492642218.0
112,kamu bisa apa saja,asking-question-other,1492644286.0
113,tanyajalan perkenalkan diri dong,asking-question-other,1492644308.0
114,dari pangkalpinang ke sungailiat,asking-question-direction,1492644344.0
115,dari bandara soekarno hatta ke unj,asking-question-direction,1492644439.0
116,dari bandara soekarna hatta ke ui,asking-question-direction,1492644491.0
117,ongkos dari bandara soekarno hatta ke ui,asking-question-direction,1492644567.0
118,ongkos nya ,asking-question-other,1492644650.0
119,ongkos bus jurusan bandara soekarna hatta terminal pasar minggu,asking-question-direction,1492644687.0
120,dari beji ke pondok maharta,asking-question-direction,1492644763.0
121,cek jadwal krl stasiun ui,asking-question-schedule,1492644877.0
122,berangkat dari uui,asking-question-direction,1492645293.0
123,dari ui ke bogor,asking-question-direction,1492645307.0
124,fasilkom ke tokyo,asking-question-direction,1492647993.0
125,tokyo ke kyoto,asking-question-direction,1492648069.0
126,tokyo ke osaka,asking-question-direction,1492648094.0
127,fasilkom ke rumah,asking-question-direction,1492648110.0
128,fasilkom ke kutek,asking-question-direction,1492648188.0
129,fasilkom ke margonda,asking-question-direction,1492648215.0
130,fasilkom ke itu,asking-question-direction,1492648225.0
131,fasilkom ke itb,asking-question-direction,1492648233.0
132,itb ke ugm,asking-question-direction,1492648270.0
133,ugm ke itb,asking-question-direction,1492648275.0
134,ui ke sman ,asking-question-direction,1492648297.0
135,ui ke kalimalang,asking-question-direction,1492648304.0
136,ui ke duren sawit,asking-question-direction,1492648312.0
137,ui ke bekasi,asking-question-direction,1492648324.0
138,jalan ke kutek,asking-question-direction,1492648366.0
139,fasilkom ke antartika,asking-question-direction,1492648415.0
140,fasilkom ke tokyo,asking-question-direction,1492648423.0
141,margonda ke kelapa dua,asking-question-direction,1492648470.0
142,cara ngoding,other,1492648561.0
143,cek ngoding,other,1492648570.0
144,ngoding ke tapi,asking-question-direction,1492648597.0
145,pergi ke tanah abang dari  tahun ke depan,asking-question-direction,1492648659.0
146,tanah abang ke  tahun ke depan,asking-question-direction,1492648712.0
147,jadwal krl stasiun universitas indonesia,asking-question-direction,1492649449.0
148,berangkat dari depok ke bogor,asking-question-direction,1492650782.0
149,dari ciganjur ke unj,asking-question-direction,1492658903.0
150,cipedak ke slipi jaya,asking-question-direction,1492659010.0
151,kamu bisa apa saja,asking-question-other,1492659052.0
152,tanyajalan perkenalin diri dong,asking-question-other,1492659053.0
153,jadwal krl stasiun citayem,asking-question-schedule,1492709269.0
154,tendean ke cawang,asking-question-direction,1492709931.0
155,kamu bisa apa saja,asking-question-other,1492712687.0
156,tanyajalan perkenalin diri dong,asking-question-other,1492712687.0
157,pergi ke halim perdana kusumah dari fatmawati,asking-question-direction,1492712706.0
158,dari jakarta ke sini,asking-question-direction,1492721079.0
159,pergi ke ciputat dari cililitan,asking-question-direction,1492724898.0
160,ui ke gunadarma kampus e,asking-question-direction,1492730463.0
161,ui ke kelapa dua,asking-question-direction,1492730513.0
162,ui ke brimob kelapa dua,asking-question-direction,1492730572.0
163,berangkat dari ui ke man  jakarta,asking-question-direction,1492734754.0
164,tanyajalan perkenalin diri dong,asking-question-other,1492736926.0
165,kamu bisa apa saja,asking-question-other,1492736926.0
166,dari fasilkom ui ke fisip ui,asking-question-direction,1492736965.0
167,dari fasilkom ui ke fakultas hukum,asking-question-direction,1492737004.0
168,dari fasilkom ui ke grand indonesia,asking-question-direction,1492737021.0
169,dari surga ke neraka,asking-question-direction,1492737044.0
170,bagi rute busway,asking-question-direction,1492737074.0
171,yahh,giving-negative-feedback,1492737082.0
172,mager,giving-negative-feedback,1492737088.0
173,gamauu,giving-negative-feedback,1492737094.0
174,,other,1492737109.0
175,kok tidak dibales,giving-negative-feedback,1492737127.0
176,tarif krl,asking-question-other,1492737138.0
177,dari kukusan teknik ke kukusan kelurahan,asking-question-direction,1492746189.0
178,dari ui ke botani square,asking-question-direction,1492746383.0
179,dari kuningan ke scbd,asking-question-direction,1492748366.0
180,berangkat sudirman ke kuningan,asking-question-direction,1492748410.0
181,berangkat sudirman ke rasuna said,asking-question-direction,1492748441.0
182,dari fasilkom ui ke plaza senayan,asking-question-direction,1492755633.0
183,kamu bisa apa saja,asking-question-other,1492807317.0
184,jadwal krl universitasindonesia,asking-question-schedule,1492807318.0
185,tampilkan lebih banyak jadwal krl stasiun universitasindonesia,asking-question-schedule,1492807350.0
186,jadwal krl universitasindonesia,asking-question-schedule,1492807775.0
187,jadwal krl universitasindonesia,asking-question-schedule,1492808229.0
188,jadwal krl universitasindonesia,asking-question-schedule,1492808236.0
189,kamu bisa apa saja,asking-question-other,1492810529.0
190,cek jadwal krl stasiun karet,asking-question-schedule,1492810542.0
191,cek jadwal krl stasiun manggarai,asking-question-schedule,1492812776.0
192,berangkat dari undip tembalang ke ngaliyan,asking-question-direction,1492819281.0
193,kamu bisa apa saja,asking-question-other,1492821379.0
194,dari ui ke rawamangun,asking-question-direction,1492821402.0
195,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1492832191.0
196,tampilkan lebih banyak jadwal krl stasiun jakarta kota,asking-question-schedule,1492832246.0
197,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1492832863.0
198,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1492833834.0
199,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1492834504.0
200,ke tambun,asking-question-direction,1492593007.0
201,tanyajalan perkenalin diri dong,asking-question-other,1492593094.0
202,berangkat dari bekasi ke tambun,asking-question-schedule,1492593245.0
203,berangkat dari bekasi ke tambun,asking-question-schedule,1492593245.0
204,bandung ke tambun ,asking-question-schedule,1492593348.0
205,tambun ke puncak ,asking-question-schedule,1492593883.0
206,kamu bisa apa saja,asking-question-other,1492594739.0
207,jelambar,other,1492594761.0
208,berangkat dari jelambar ke bendungan hilir,asking-question-direction,1492594791.0
209,tanyajalan perkenalin diri dong,asking-question-other,1492594807.0
210,kamu bisa apa saja,asking-question-other,1492594830.0
211,berangkat dari kukusan ke margo city square,asking-question-direction,1492624841.0
212,dari ignatius rahardi ke ignatius raka,asking-question-direction,1492630377.0
213,dari margonda ke komplek badan,asking-question-direction,1492630797.0
214,tanyajalan perkenalin diri dong,asking-question-other,1492630976.0
215,tanyajalan perkenalin diri dong,asking-question-other,1492630985.0
216,kamu bisa apa saja,asking-question-other,1492630985.0
217,kamu bisa apa saja,asking-question-other,1492630998.0
218,bagaimana cara ke bandara halim dari fasilkom,asking-question-direction,1492631001.0
219,berapa lama ke pondok bambu,asking-question-direction,1492631019.0
220,dari halim ke surabaya,asking-question-direction,1492631100.0
221,dari surabaya ke its,asking-question-direction,1492631127.0
222,dari bandara halim ke its,asking-question-direction,1492631160.0
223,dari bandara halim ke its naik pesawat,asking-question-direction,1492631185.0
224,yah,giving-negative-feedback,1492631191.0
225,kamu bisa ngapain saja,asking-question-other,1492631198.0
226,jadwal krl universitas indonesia,asking-question-schedule,1492631208.0
227,tanyajalan perkenalin diri dong,asking-question-other,1492631246.0
