id,text,intent,datetime
0,Dari rawamangun ke kokas,asking-question-direction,1492886491
1,Dari rawamangun ke Kota kasablanka,asking-question-direction,1492886502
2,Kamu bisa apa aja?,asking-question-other,1492898204
3,TanyaJalan perkenalin diri dong,asking-question-other,1492898204
4,halo,greeting,1492898226
5,jalan dari Bogor ke malang?,asking-question-direction,1492898242
6,jalan dari Bogor ke malang?,asking-question-direction,1492898242
7,cariin jalan dong,asking-question-direction,1492898252
8,jalan dari Slipi ke karet?,asking-question-direction,1492898271
9,Kamu bisa apa aja?,asking-question-other,1492901653
10,TanyaJalan perkenalin diri dong,asking-question-other,1492901655
11,Bagi jadwal krl,asking-question-schedule,1492901682
12,Cek jadwal krl stasiun ui,asking-question-schedule,1492901695
13,Cek jadwal krl stasiun pocin,asking-question-schedule,1492901710
14,Cek jadwal krl stasiun pondok cina,asking-question-schedule,1492901724
15,Kamu bisa apa aja?,asking-question-other,1492902155
16,jadwal krl,asking-question-schedule,1492902182
17,jadwal krl bogor,asking-question-schedule,1492902200
18,tampilkan lebih banyak jadwal krl stasiun BOGOR,asking-question-schedule,1492902207
19,TanyaJalan perkenalin diri dong,asking-question-other,1492907273
20,Kamu bisa apa aja?,asking-question-other,1492907273
21,Dari stasiun ui ke limelight,asking-question-direction,1492969693
22,Dari ui ke limelight,asking-question-direction,1492969696
23,tampilkan lebih banyak jadwal krl stasiun MANGGARAI,asking-question-schedule,1492971732
24,tampilkan lebih banyak jadwal krl stasiun MANGGARAI,asking-question-schedule,1492972077
25,Dari ui ke lebak bulus,asking-question-direction,1492972587
26,TanyaJalan perkenalin diri dong,asking-question-other,1492972686
27,Dari ui ke cempaka lestari raya,asking-question-direction,1492972704
28,Dari ui ke cilandak town square,asking-question-direction,1492972987
29,Dari stasiun tebet ke festival plaza,asking-question-direction,1492986017
30,TanyaJalan perkenalin diri dong,asking-question-other,1493003046
31,Berangkat dari Balai Kota Depok ke Fasilkom UI,asking-question-direction,1493003081
32,Kamu bisa apa aja?,asking-question-other,1493078166
33,Dari otista ke tripvisto,asking-question-direction,1493078193
34,Dari otista ke tripvisto,asking-question-direction,1493078193
35,tampilkan lebih banyak jadwal krl stasiun JATINEGARA,asking-question-schedule,1493078575
36,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598
37,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598
38,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598
39,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493079917
40,tampilkan lebih banyak jadwal krl stasiun universitasindonesia,asking-question-schedule,1493079950
41,Cara ke bukalapak,asking-question-direction,1493091969
42,Cara ke bukalapak,asking-question-direction,1493091969
43,Cara ke bukalapak,asking-question-direction,1493091969
44,Cara ke bukalapak,asking-question-direction,1493091969
45,Dari UI ke bukalapak,asking-question-direction,1493091985
46,dari ui ke tanah kusir,asking-question-direction,1493096656
47,dari ui ke tanah kusir,asking-question-direction,1493096656
48,dari ui ke tanah kusir,asking-question-direction,1493096656
49,dari ui ke tanah kusir,asking-question-direction,1493096656
50,dari ui ke tanah kusir,asking-question-direction,1493096656
51,Pulang ke jalan kampung Marga Jaya lewat mana,asking-question-direction,1493098514
52,Pulang ke daerah jalan kampung Marga Jaya Serpong lewat mana,asking-question-direction,1493098574
53,Pulang ke Pondok Indah lewat mana,asking-question-direction,1493098614
54,Pulang ke Pondok Indah lewat mana,asking-question-direction,1493098614
55,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394
56,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394
57,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394
58,Bagaimana cara dari bogor ke kota Kasablanka,asking-question-direction,1493102619
