id,text,intent,datetime
0,dari rawamangun ke kokas,asking-question-direction,1492886491
1,dari rawamangun ke kota kasablanka,asking-question-direction,1492886502
2,kamu bisa apa aja,asking-question-other,1492898204
3,tanyajalan perkenalin diri dong,asking-question-other,1492898204
4,halo,greeting,1492898226
5,jalan dari bogor ke malang,asking-question-direction,1492898242
6,jalan dari bogor ke malang,asking-question-direction,1492898242
7,cariin jalan dong,asking-question-other,1492898252
8,jalan dari slipi ke karet,asking-question-direction,1492898271
9,kamu bisa apa aja,asking-question-other,1492901653
10,tanyajalan perkenalin diri dong,asking-question-other,1492901655
11,bagi jadwal krl,asking-question-schedule,1492901682
12,cek jadwal krl stasiun ui,asking-question-schedule,1492901695
13,cek jadwal krl stasiun pocin,asking-question-schedule,1492901710
14,cek jadwal krl stasiun pondok cina,asking-question-schedule,1492901724
15,kamu bisa apa aja,asking-question-other,1492902155
16,jadwal krl,asking-question-schedule,1492902182
17,jadwal krl bogor,asking-question-schedule,1492902200
18,tampilkan lebih banyak jadwal krl stasiun bogor,asking-question-schedule,1492902207
19,tanyajalan perkenalin diri dong,asking-question-other,1492907273
20,kamu bisa apa aja,asking-question-other,1492907273
21,dari stasiun ui ke limelight,asking-question-direction,1492969693
22,dari ui ke limelight,asking-question-direction,1492969696
23,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1492971732
24,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1492972077
25,dari ui ke lebak bulus,asking-question-direction,1492972587
26,tanyajalan perkenalin diri dong,asking-question-other,1492972686
27,dari ui ke cempaka lestari raya,asking-question-direction,1492972704
28,dari ui ke cilandak town square,asking-question-direction,1492972987
29,dari stasiun tebet ke festival plaza,asking-question-direction,1492986017
30,tanyajalan perkenalin diri dong,asking-question-other,1493003046
31,berangkat dari balai kota depok ke fasilkom ui,asking-question-direction,1493003081
32,kamu bisa apa aja,asking-question-other,1493078166
33,dari otista ke tripvisto,asking-question-direction,1493078193
34,dari otista ke tripvisto,asking-question-direction,1493078193
35,tampilkan lebih banyak jadwal krl stasiun jatinegara,asking-question-schedule,1493078575
36,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598
37,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598
38,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493078598
39,tampilkan lebih banyak jadwal krl stasiun manggarai,asking-question-schedule,1493079917
40,tampilkan lebih banyak jadwal krl stasiun universitasindonesia,asking-question-schedule,1493079950
41,cara ke bukalapak,asking-question-direction,1493091969
42,cara ke bukalapak,asking-question-direction,1493091969
43,cara ke bukalapak,asking-question-direction,1493091969
44,cara ke bukalapak,asking-question-direction,1493091969
45,dari ui ke bukalapak,asking-question-direction,1493091985
46,dari ui ke tanah kusir,asking-question-direction,1493096656
47,dari ui ke tanah kusir,asking-question-direction,1493096656
48,dari ui ke tanah kusir,asking-question-direction,1493096656
49,dari ui ke tanah kusir,asking-question-direction,1493096656
50,dari ui ke tanah kusir,asking-question-direction,1493096656
51,pulang ke jalan kampung marga jaya lewat mana,asking-question-direction,1493098514
52,pulang ke daerah jalan kampung marga jaya serpong lewat mana,asking-question-direction,1493098574
53,pulang ke pondok indah lewat mana,asking-question-direction,1493098614
54,pulang ke pondok indah lewat mana,asking-question-direction,1493098614
55,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394
56,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394
57,stasiun pondok ranji ke kalibata,asking-question-direction,1493100394
58,bagaimana cara dari bogor ke kota kasablanka,asking-question-direction,1493102619
59,dari ui ke ariobimo central,asking-question-direction,1493138062
60,dari ui ke ariobimo central,asking-question-direction,1493138062
